"","Commodity2","APMC","Year","maxfluctrel","maxfluct"
"293","pigeon pea tur","Osmanabad",2016,20.675537359263,1414
"294","bajri","Kalvan",2016,88.5821831869511,1412
"295","sorgumjawar","Bhokardan",2015,121.324161650903,1411
"296","bajri","Ulhasnagar",2015,52.1900519673348,1406
"297","bajri","Murum",2014,100.071225071225,1405
"298","pigeon pea tur","Amarawati",2015,17.1986250920697,1401
"299","ricepaddyhus","Nira-Saswad",2015,73.6842105263158,1400
"300","pigeon pea tur","Nanded",2014,43.75,1400
"301","pigeon pea tur","Barshi-Vairag",2015,28,1400
"302","sesamum","Akot",2016,28,1400
"303","sesamum","Balapur",2015,25,1400
"304","pigeon pea tur","Parli-Vaijnath",2015,18.9599133261105,1400
"305","pigeon pea tur","Parbhani",2015,16.1849710982659,1400
"306","pigeon pea tur","Barshi",2016,18.513603185136,1395
"307","pigeon pea tur","Solapur",2016,18.0429717835879,1394
"308","pigeon pea tur","Purna",2015,30.2194221160113,1391
"309","pigeon pea tur","Nilanga",2016,17.0074690828946,1389
"310","pigeon pea tur","Akola",2016,17.424147047715,1384
"311","pigeon pea tur","Nandurbar",2016,23.2950708980419,1380
"312","bajri","Shahada",2015,98.8497483824587,1375
"313","pigeon pea tur","Jalna",2016,20.0642523364486,1374
"314","sorgumjawar","Phaltan",2015,87.1746031746032,1373
"315","pigeon pea tur","Beed",2015,23.1363887355052,1372
"316","pigeon pea tur","Hadgaon",2015,23.9824561403509,1367
"317","pigeon pea tur","Barshi-Vairag",2016,18.670496512105,1365
"318","pigeon pea tur","Chandur Bajar",2016,17.5064267352185,1362
"319","ricepaddyhus","Tumsar",2014,66.7485265225933,1359
"320","pigeon pea tur","Taloda",2015,28.3994932432432,1345
"321","pigeon pea tur","Ambad(Vadi Godri)",2015,19.9746698027863,1345
"322","ricepaddyhus","Tumsar",2016,72.3358449946179,1344
"323","pigeon pea tur","Akot",2016,17.2750642673522,1344
"324","sorgumjawar","Akkolkot",2014,125.776105362183,1337
